INCIDENT TITLE,LATITUDE,LONGITUDE
"CALLE IGLESIA JUSLIBOL, 1",41.69450352043746,-0.9015817704990615
"CALLE ZARAGOZA SAN GREGORIO, 96",41.692706321718795,-0.8981115096628312
"CALLE ZARAGOZA SAN GREGORIO, 27",41.689475254245984,-0.8938101072619702
CALLE BAR JUSLIBOL,41.69107126549791,-0.8929289256179385
CALLE CASTELLAR JUSLIBOL,41.69064539914102,-0.8915622047154591
PLAZA SERRANO BERGES SANTA ISABEL,41.667017430977516,-0.8311208796082319
"CALLE SANTA ISABEL, 100",41.66655125175882,-0.8305197503198863
"LIBERTAD, PL      SIS",41.66788031294658,-0.8265010835435825
"CALLE MOLINO DE LAS ARMAS, 57",41.66044346087279,-0.8643376916838947
"AVENIDA RANILLAS, 40",41.668610609776906,-0.895969222184376
"ANDADOR PILAR CUARTERO MOLINERO, 5",41.66922032134168,-0.894590817634523
"ANDADOR PILAR CUARTERO MOLINERO, 5",41.66894246313535,-0.894418495777939
"CALLE MIGUEL ASSO, 5",41.66018487590244,-0.8608467150382138
"CALLE ALFONSO ZAPATER CERDAN, 21",41.6572542361445,-0.8553441278857999
CALLE JESUS BURRIEL ALIAS,41.65329063666443,-0.8555471171494803
CALLE LA HERRERIA SAN JUAN DE MOZARRIFAR,41.71691861860314,-0.8423979916075692
PLAZA ESPAÑA PEÑAFLOR,41.7175172755369,-0.84142470762604
PLAZA ESPAÑA PEÑAFLOR,41.71757441264731,-0.8413499485559262
CAMINO DE COGULLADA,41.708388101934446,-0.8325168619608566
PLAZA DE LA CONVIVENCIA,41.64689587669947,-0.9073198071077542
CALLE ANTONIO ROYO,41.656089159789005,-0.8558948759218168
CALLE JORGE SANCHEZ CANDIAL,41.65600871108488,-0.8571345122288939
"CALLE BALBINO ORENSANZ, 47",41.65664996672748,-0.8594047822645544
PASEO DE LA RIBERA,41.65343987414526,-0.8606537587812711
"CALLE MARIA VIRTO, 20",41.6627292100099,-0.8577038426399879
"CALLE TENIENTE ORTIZ DE ZARATE, 12",41.66740105573688,-0.8728354866669551
CALLE VALERO JULIAN RIPOL URBANO,41.66484150206994,-0.882250914109006
CALLE VALERO JULIAN RIPOL URBANO,41.66475111690366,-0.8822335783980196
"CALLE RIO GUATIZALEMA, 8",41.661520648482764,-0.8946423677844391
"PEIRONA,FCO.(ANDADOR)",41.64242653820463,-0.9133970895842188
"CALLE MIGUEL ASIN Y PALACIOS, 29",41.63534376660129,-0.9052805440275912
"CALLE BELGICA, 14",41.651018712568565,-0.9059638607469883
"CALLE CASPE, 1",41.65037105554394,-0.9050205700011003
"AVENIDA TENOR FLETA, 51",41.63977982393416,-0.8809823559641765
"CALLE EDUARDO IBARRA, 3",41.638297105142236,-0.9017794546409055
"CALLE ALCALDE GOMEZ LAGUNA, 82",41.63971229656757,-0.9176863250304931
"CALLE CINEASTA SEGUNDO DE CHOMON, 4",41.67713644062767,-0.8830377850119518
CALLE GERTRUDIS GOMEZ DE AVELLANEDA,41.67704835680564,-0.8909807653365349
PLAZA FERMIN AGUAYO,41.64137710101189,-0.8689755521775617
PLAZA FERMIN AGUAYO,41.64133301914473,-0.8690268327907542
"MEMORIA, DE LA PQ.",41.634248390898755,-0.8787109112160749
"CALLE MARIA MOLINER, 36",41.63952204758576,-0.8828777211455862
"CALLE LEON XIII, 33",41.64481164382316,-0.8840035767278355
"CALLE SANTA JOAQUINA DE VEDRUNA, 15",41.64562760380612,-0.8813622396731158
"CALLE SAN ANTONIO ABAD, 40",41.654737650842826,-0.906415000322065
PLAZA ECCE HOMO,41.65464804215835,-0.8830912897868624
"CALLE PREDICADORES, 51",41.65748775373966,-0.8847017180951172
"CALLE SAN BLAS, 106",41.65678187848602,-0.8881910237569962
"CALLE ARMAS, 23",41.65642175914083,-0.8840377801150177
"CALLE VALLE DE ZURIZA, 19",41.66159345024344,-0.8729231744445097
"ANENTO, JARDINES DE",41.65711798194078,-0.8635002848266344
"PASEO ISABEL CATOLICA, 3",41.63554083317264,-0.9005331393862621
"PASEO ISABEL CATOLICA, 1",41.636003999124334,-0.8997569407809769
QUINTANA LACACCI(AND),41.639996140893295,-0.9119861200170172
GLORIETA JOSE ESCOLANO SANCHEZ,41.64630546259278,-0.9157171267979801
"AVENIDA NAVARRA, 7",41.65468270203216,-0.9021679304228803
"CALLE FRAGA, 17",41.6590295572749,-0.900260141045804
"CALLE VIOLETA PARRA, 26",41.670286257908344,-0.8786052393410665
"CALLE BATALLA DE LEPANTO, 57",41.64424848599868,-0.8604020143091322
"CALLE SIXTO CELORRIO, 56",41.66109753830033,-0.8758142986632864
ANDADOR ARAGUES DEL PUERTO,41.662080749292116,-0.8776009689218582
"CALLE ONCE DE JULIO, 22",41.66295977757682,-0.8592017364122017
CALLE SAN JUAN BAUTISTA DE LA SALLE,41.63757174257705,-0.9428556568469739
"AVENIDA CESAREO ALIERTA, 76",41.63925504287567,-0.8718369525520787
"CALLE PEDRO LAZARO, 18",41.66365267240659,-0.8577194621966446
"AVENIDA CONSTITUCION CASETAS, 31",41.723096720187044,-1.0240883060552628
"CLEMENTE,M(PARQUE)CST",41.719354236326645,-1.0316808669287398
"AVENIDA BUENOS AIRES CASETAS, 1",41.724167624893866,-1.0353269396207898
"CALLE POETA LUIS CERNUDA, 19",41.67403425085885,-0.8860033217526112
"CALLE BALBINO ORENSANZ, 5",41.660630081234366,-0.8583961760243981
"GLORIETA DIEGO DE VELAZQUEZ, 2",41.63866160050338,-0.8865298416987355
